"id","titulo","precio","dueno","tipoAviso","region","comuna","telefono","telefonoLink","fechaPublicacion","codigo","descripcion"
1,"Habitaciýn ","$ 170.000","Samantha Luna","Aviso profesional","Regiýn Metropolitana, Quinta Normal","Quinta Normal","+(56) 920250502
","https://www.yapo.cl/pg/0gmoiqInsF8jj2cJ/fCNQcqufTpD+NC0/rfi1bwERzg==.gif","13 Agosto 18:38","73768799","Arriendo habitaciýn a persona sola , responsable,joven y con documentaciýn legal en el paýs.El costo incluye los gastos comunes y lo serviciosbýsicos (luz,agua,gas e internet)*No se permiten visitas**No mascotas**No pareja"
2,"OFICINA Oficina con Estacionamiento a pasos…","$ 74.000.000","Corretajes Prosal Ltda","Aviso profesional","Regiýn Metropolitana, Providencia","Providencia","+(56) 226337160
","https://www.yapo.cl/pg/0W1LkUA5R8yJyLY8GXPjr0f4B0IL/15xA6upfpsoxpg==.gif","13 Agosto 18:32","67468963","- Oficina de un ambiente en 6ý Piso- Av. Eliodoro Yýýez 2970 Of.604. Providencia- Condominio Edificio Studio Office Tobalaba- Superficie ýtil : 25 m2 - 1 Privado- 1 Baýo- Estacionamiento Ný15- Rol de la Propiedad : 1951-313- Cercana a locomociýn, bancos, comercio engeneral y estaciýn metro.- Referencia de direcciýn : Av. Tobalaba conEliodoro Yýýez - RECIBIMOS SU PROPIEDAD  VEHýCULO EN PARTE DEPAGO- Ejecutivos de Ventas:Carola Riquelme cel. +569 9630 4086Javier Valenzuela cel. +569 9738 2871Cynthia Rojas cel. +569 3386 5360"
3,"Casa sector alto de la florida","UF 7.850,00","cristian","Aviso personal","Regiýn Metropolitana, La Florida","La Florida","+(56) 967695264
","https://www.yapo.cl/pg/0csHobb9mdNCZdh5/K23mTxbqRCoK2DxS83QASWVPaA==.gif","13 Agosto 18:32","73648266","Amplia casa ubicada en el mejor sector de laflorida, frente al cerro panul, hermosas plazas yýreas verdes, colegio a media cuadra, colectivo ala puerta, supermercados y mucho mýs. 5dormitorios, sala de estar.140 metros construidos mýs la logia.Persianas elýctricas. Estacionamientos hasta para4 vehýculos.Vende directo su dueýo, sin corredor."
4,"Hermoso departamento 3D+2B+Bodega San Miguel","UF 3.350,00","Jorge Gonzalez","Aviso personal","Regiýn Metropolitana, San Miguel","San Miguel","+(56) 962260809
","https://www.yapo.cl/pg/0Fm1JbG/VYtClewReYaT29nqPhtiW8m4G7idKBB9BgA==.gif","13 Agosto 18:32","73637784","Vendo hermoso departamento de tres dormitorios ydos baýos, cocina independiente y amoblada, conterraza y malla para seguridad de balconesUbicado en el piso 11, direcciýn nororienteExcelente ubicaciýn, cercano a estaciýn de metroCiudad del niýo, colegios, supermercados, bancos,Malls.Caracterýsticas comunidad:Accesos controlados, ýreas verdes, circuitocerrado de tv, citýfono, estacionamiento devisitas, portýn elýctrico, gimnasio, sala deeventos y piscina.Departamento 68,21 M2 con Bodega.Precio conversable.Jorge Gonzalez +569 62260809.Vende su dueýa, sin comisiýn"
5,"Casa habitacional o comercial Las Condes","$ 425.000.000","Ibaýez Propiedades","Aviso profesional","Regiýn Metropolitana, Las Condes","Las Condes","+(56) 222349907
","https://www.yapo.cl/pg/0VWIPTMyLf9kBJQgKSnktaGstqTLw5+J1/HXRnYHZzA==.gif","13 Agosto 18:30","73768660","Acogedora casa  que esta en esquina, cuenta con unpiso,  ubicada en barrio residencial cercana aestaciýn de metro Hernando de Magallanes y StadioItaliano. Cuenta con tres amplias  habitacionesprincipales en suite, dos baýos completos, sala deestar.  Living comedor separado con piso deparquet.  Cocina tradicional con comedor dediario, habitaciýn de servicio.,  patio interior.Estacionamiento para tres o cuatro  vehýculos.Metros construidos 156 Mt2, metros de terreno 495Mt2. Posibilidad de cambio de giro a comercial usode suelo zona U-V1. Se aceptan ofertas.En suma, Solicite mayores detalles y agende suvisita.  Oficina: 22-2349907   Celular (+569) 57092236SE ACEPTAN OFERTAS"
6,"Casa 3 dormitorios La Granja","$ 300.000","jmella84","Aviso personal","Regiýn Metropolitana, La Granja","La Granja","+(56) 933685959
","https://www.yapo.cl/pg/0kCFzozA5LXJJpaB+iZjK3kH4JBua9Z6hc0u57DeYjw==.gif","13 Agosto 18:29","73768631","Se arrienda casa en la comuna de la granja.Arriendo: $300.000- 3 dormitorios- 1 baýo- Cocina - Living - comedor.- Patio trasero- Antejardin- NO cuenta con EstacionamientoRequisitos:- 12 ultimas liquidaciones- 12 Cotizaciones AFP- Certificado laboral o antigýedad- Certificado Dicom- Mes de arriendo- 2 Meses de GarantýaPara mas consultas enviar WhatsApp solointeresados.Contacto: Josý Mella (Dueýo)Celular: +56933685959"
7,"Casa Santo Tomas","$ 25.000.000","Carmen Navarro","Aviso personal","Regiýn Metropolitana, La Pintana","La Pintana","Sin numero","Sin numero","13 Agosto 18:29","73768619","Casa basica 30 1/2 de Santa Rosa2 pisos2 dormitorios Precio conversable Fono contacto 9 93621617"
8,"Pieza amplio espacio Stgo Centro","$ 230.000","Martin ","Aviso personal","Regiýn Metropolitana, Santiago","Santiago","+(56) 979014459
","https://www.yapo.cl/pg/0p5bPafsKZKrInwzuvAkudZeQeV6Le2HUH7ukGS137g==.gif","13 Agosto 18:27","73768579","Se arrienda pieza amplio espacio 2 ambientessector de Stgo centro Victoria con Arturo PratIncluye uso de lavadora, cocina y refrigerador."
9,"dpto en Independencia","$ 260.000","Helen Martinez","Aviso personal","Regiýn Metropolitana, Independencia","Independencia","+(56) 955331878
","https://www.yapo.cl/pg/0uKJOz8NAG2sQ2YuVw76d+WFlnM59y0r/4Th8cGz58A==.gif","13 Agosto 18:27","73768553","Se arrienda departamento de 1 dormitorio, 1 baýo,living-comedor, cocina americanaCuenta con cocina encimera y horno elýctricoPiso 18Disponible a partir de septiembreMes de garantýaRequisitos evaluables para cada casoDirecto por su dueýa"
10,"Depto. 1D 1B Metro Bellas Artes","$ 290.000","Invierte Propiedades","Aviso profesional","Regiýn Metropolitana, Santiago","Santiago","+(56) 995895815
","https://www.yapo.cl/pg/0VLjPjGVokBCi+ertkzu4MghsNspME219u7vs8W5KVw==.gif","13 Agosto 18:25","72932121","Hermoso y centrico departamento en Centro deSantiago.1 dormitorio en suite.cocina americana.piso flotante.departamento no cuenta con estacionamiento nibodega.amplia terraza que cubre todo el departamento.Gasto comun aprox de $70.000.Edificio cuenta con piscina en ultimo piso,gimnasio en ultimo piso, lavanderia, patiosinterores, bicicletero.Departamento ubicado a dos cuadras de metrosBellas Artes y Plaza de Armas.Comercio cercano, supermercados, carabineros,bancos, farmacias, restaurantes.Barrio Lastarria y Bellas Artes.(datos importantes, no se permiten mascotas niniýos, departamento ideal para persona sola opareja). :-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:Contacto, Reservas y Mýs Informaciýn:Invierte Propiedades Cýdigo: 3267Nombre del Ejecutivo: Nicole  CastroTelefono Ejecutivo: 944028380"
